
通过最多 30 个跃点跟踪到 122.198.64.130 的路由

  1    32 ms     4 ms     1 ms  10.249.88.1 
  2     2 ms     3 ms     2 ms  10.0.12.1 
  3     2 ms     2 ms    21 ms  120.236.31.5 
  4     2 ms     2 ms    24 ms  120.198.184.193 
  5     3 ms     2 ms     2 ms  211.136.248.245 
  6     8 ms     8 ms     4 ms  221.183.14.145 
  7     9 ms     7 ms     5 ms  221.176.18.57 
  8     *       33 ms    33 ms  221.176.18.22 
  9     *        *        *     请求超时。
 10    30 ms    30 ms    29 ms  183.247.227.14 
 11     *        *        *     请求超时。
 12     *        *        *     请求超时。
 13     *        *        *     请求超时。
 14     *        *        *     请求超时。
 15     *        *        *     请求超时。
 16     *     
